order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,region,sales_channel,status
ORD002432,CUST00264,P0003,2024-03-26,5,45.14,0.0,West,Marketplace,Completed
ORD001300,CUST00187,P0178,03-Dec-2023,1,192.86,5.0,Central,online,Completed
ORD016363,CUST01076,P0100,24/04/2025,3,221.66,10.0,West,online,Shipped
ORD013848,CUST00177,P0028,2023-11-01,1,273.0,5.0,West,In-Store,Completed
ORD000156,CUST00764,P0004,21/12/2023,1,49.41,0.0,west,ONLINE,Completed
ORD011854,CUST00163,P0181,2026-05-08,2,186.77,10.0,South,Mobile App,Cancelled
ORD002763,CUST00127,P0001,2022-02-14,1,,,,,
ORD013459,CUST01085,P0058,2024-12-16,2,92.16,0.0,South, Marketplace ,Completed
ORD018735,CUST00974,P0198,2022-04-16,1,51.99,0.0,South,Online,Completed
ORD018617,CUST01052,P0137,2022-01-19,2,118.42,0.0,North,mobile app,Returned
ORD007765,CUST00890,P0169,13-Jul-2022,2,61.01,5.0,west,ONLINE,Shipped
ORD008347,CUST01125,P0017,2024-08-28,1,49.35,0.0,East,Marketplace,Completed
ORD013032,CUST00216,P0167,2024-06-21,1,302.57,0.0,west, Online ,Completed
ORD010712,CUST00576,P0109,08-May-2025,1,321.79,0.0,Central,Marketplace,Pending
ORD004232,CUST00038,P0001,2024-08-24,4,70.23,5.0, South ,Online,Pending
ORD018504,CUST00813,P0148,29/01/2025,1,293.96,0.0,Central,Marketplace,Pending
ORD006404,CUST00774,P0110,11-Jun-2023,1,209.02,20.0,CENTRAL,Mobile App,Completed
ORD017516,CUST00690,P0088,17-Apr-2025,2,220.65,15.0,East,Mobile App,Returned
ORD003907,CUST00688,P0153,20-Apr-2022,3,273.01,0.0,Central,Mobile App,Returned
ORD011903,CUST00991,P0055,2024-09-16,2,165.35,0.0,Central,In-Store,Shipped
ORD012829,CUST00890,P0140,29-Jan-2023,1,36.65,0.0,East,Marketplace,Completed
ORD016580,CUST01018,P0047,02/11/2024,1,104.16,20.0,South,MOBILE APP,Pending
ORD009576,CUST00082,P0181,20-Nov-2023,2,116.6,5.0,North,Online,Completed
ORD005654,CUST00475,P0016,15-Oct-2023,2,27.57,0.0,West,Marketplace,Completed
ORD007723,CUST00727,P0049,07-Apr-2025,1,206.12,0.0,Central,Online,Pending
ORD000497,CUST00367,P0125,05-Sep-2023,2,204.62,10.0,South,Online,Completed
ORD019357,CUST00849,P0022,29-Aug-2024,1,212.76,5.0,North,In-Store,Cancelled
